lyric,class
"And I'm codeine dreaming, and I'm codeine dreaming",0
"But when it's up and then go down, they treat me like the villain",0
"Xans, Perky, check (Yeah), Bill Belichick",0
"30, you a fool for this one",0
Than be f***in' with you,0
Am I the only one who's been mistaken?,1
"Nunca me vieron caer, nah, nunca",0
"It's tearing up my voice, left in silence",1
"In Italy, got two foreign hoes, they DM me (Ooh, brr, ayy)",0
"I gotta go get it, I gotta go get it",0
"Ooh, no we ain't perfect, but we d*** close",0
And he got shot right in the stomach,0
"Try to play with me, you might end up missing (Might end up missing)",0
"New Chanel, Saint Laurent, Gucci bag (Huh, haan)",0
Can't see myself when I look in the mirror,0
"Soulmate, for the night",1
It's big wave (Woo),0
I'm standing with an army,1
"Shouldn't be with ya (With ya), guess I'm a quitter (Quitter)",1
"I knew, I knew, yeah, I knew",0
A little bit psycho,1
But tonight I'm gonna lose it all,1
No sleep 'til I've seen three suns (Three suns),0
"Hit him with the Ruger and it's too silent, make it go (Shh)",0
"Same old s***, new maggots (Yeah)",0
"Just feel the vibes, just, just feel the vibes (Vibes)",0
Maybe I'm (Maybe I'm) paranoid (Paranoid),1
"You buy twenty, I'll front what you buy",0
Wedding bells were just alarms,1
"Cup full of codeine, you can smell it when I pour (Smell it when I pour)",0
"In the Hills, but still keep them ghetto ties (Hills, yeah)",0
"Been a hell of a ride, but I'm thinking it's time to go",1
"Maybe you've taken my s*** for the last time, yeah",1
"b****, I do pimp s***, huh",0
"You know you a star, you can touch the sky",1
"Bounce that s*** forever, she on both knees",0
Die for each other,1
"Yeah, baby, I like it like that",0
Said you were fine so for whatever reason,1
Grateful I had all the patience,0
Like why can't the world just be all nice things?,0
"Like controlla, controlla, yeah",1
Like when I close my eyes,1
Now you scramblin' and hopin' to get hot again,0
"Yeah, yeah, yeah",0
"It don't matter what you gotta say about it, yeah",0
"I'm outside, pop out gang with the team, b****, uh",0
"Like a locksmith, I got the keys (Like a locksmith, I got the keys), yeah, ayy",0
"Feel up, baby, feel on me",0
What was all of it for?,1
"I feel like I'm looking for somethin', somethin' that'll never come",1
"Mere lafz hi farz hai, mera dhanda",0
There's nothing left to say,1
"Dressed in fatigues, I rep the East with my trustees",0
We have no apologies for being...,1
"Yeah, I pick the b**** up",0
(Treat her better),1
"It's that n**** from the Floss, your b**** right back",0
"M&M's, sweet like candy cane (M&M's; cane, cane)",0
Hope I got some brothers that outlive me,0
"Think you need some medicine (Hey, hey, hey, hey)",1
"With her hair so curly, I love you, baby",0
"I lose the rage, I'm too tame",0
"I gotta find that peace, is it too late or",1
"I want you to make it ring, ring, ring, ring",0
"Big shot (hol' up, wait)",0
"Okay, 'Port, but I'm not talking New' (Woo)",0
"I was hot as hell out in the heat (Yeah, yeah)",0
"Out with my friend, drinking a drink",1
Or do the feeling haunt you? (Haunt),1
"I love you, baby",1
"But we won't change, change anything at all, oh",1
Me in the middle with the one I love and,1
"If Big Worm would've pulled up, I would've start hitting",0
"I'm strapped up with that thang in LA (Uh, huh?)",0
"Haven't I been here before, here before?",1
Standing in a nice dress,1
You know that I won't stop until I make you mine,1
"I'm just focused on music, they say my last tape was a classic, but I got some hotter s*** (Hotter s***)",0
One bad b**** and she do what I say so (Yeah),0
"All my sins need holy water, feel it washing over me",0
You've got some s*** to say and I'm here to listen,1
"Wanna fall through, then you better come through",0
In my kingdom wit' my Timbs on,0
LEWIS FEAT. SCHOOLBOY Q AND HOLLIS,0
Once I was seven years old,1
"I got black, I got white, what you want?",0
Right hand in the air,0
Her own man not even cold as me (Let's go),0
Fallin' in love with me,1
"I want two thousand, I want both of they tongues",0
Yo' b**** on my d*** and her breath smellin' minty,0
I'm all good already,1
"Never gonna love me, but it's alright (Alright, yeah)",0
I make money when I talk (when I talk),0
"b****, I'm from Zoo York (Woo)",0
You just went too far,1
I'd wanna be me too (Oh),1
Let's do it one more time,0
Nice to know my kind will be on my side,1
"Knots (Knots), rocks (Rocks)",0
"I just put diamonds on all of my teeth, now they probably think I ain't intelligent",0
Rain down on a pain,0
"Do the dash in the whip, count the cash in the whip",0
I'm probably beefing with PETA,0
"When I moonwalk, I don't need no twenties",0
"God d***, they right behind me",0
"To this day I never read the Bible so I might sin, yeah",0
"Catch a contact, hitch a ride, go to Mars",0
"Got a lot of sticks, you can get stamped with 'em (On God)",0
"Got a billion dollar corporation, f*** a Xanny",0
"Ready, baby? Will you be my man?",1
"Oh, baby, no way",1
"Walk it, walk it like I talk it (talk it), walk it like I talk it (woo)",0
"Hundred killas, hundred hammers",1
Hear the same songs in my car,1
I'm little bro and big bro all at once,0
I'ma make it count while I'm here,0
I think I've fallen in love (Four),0
"'Cause you got desires, I know, I know, I know",0
What's that like?,1
"Yeah, we just wanted to share that with you",0
"I did this on my own, I made this a lane",0
They greet me at the door by my government name,0
"Never looking down, I'm just in awe of what's in front of me",1
"Guerrero como Eddie, que viva la raza, yeh",0
Look what you've done,1
"He ask me, ""Doja, where you at, huh?"" (""Where you at? Where you at?"")",1
(But tell me) But tell me what you've done for me,1
Will love show me what it feels like?,1
"She said ""Pardon my French"", I said ""Bonjour Madame""",1
"I like boardin' jets, I like mornin' sex (Woo)",0
Still with my dawgs,0
"When I shoot my shot, that s*** wetty like I'm Sheck (b****)",0
Only come around and f*** with me when the boy winnin',0
"Originality, couple fatalities",0
"But my d*** give her a high, she down for the ride",0
It's the only thing I'll ever do,1
I'm tired of makin' up and fallin' out,0
"I ain't worried 'bout s***, these n****s ain't scaring me (Ain't scaring me)",0
Mama said that it was quite alright,1
"Aye, lemme slow this up",0
And you're not afraid to lose 'em,1
Make a b**** do what I say so,0
"I won't be hasty, I'll give you a try",1
"And them hollow tips do surgery, they gon' clip his lungs",0
You know that you make your own mind up,1
Why don't you take what you want from me?,1
And that only goes to show that only God knows,0
"Feelin' like, aw s***, throw some bacon on it",1
"Baby gettin' jiggy, on stage with the Glizzy",0
It'll be alright,1
"Diddily, diddily, diddily, diddily, you know what I'm talking about (Yeah)",1
"I got money on my mind, I be stackin' my green (Stacking my green)",0
"Untouchable, untouchable",1
Songs with all our childhood friends,1
So we could just give in,1
"All legends fall in the making, yeah, sorry truth, uh",0
"Wait, hold up, nah, I still don't give a f***",0
I was on the bend with it in my drawers,0
Even when I'm in bed layin' right next to her,0
But I just can't,1
Could be really out here doin' 'em nasty,0
"Now I see a million, I don't get excited",0
"The greatest, the greatest alive",1
"Tell her that she beautiful every day, I remind her",0
"That's my s***, that's my wave",1
I'm somewhere else secluded (Secluded),0
"Schmutzig, schmutzig, schmutzig, schmutzig, schmutzig, schmutzig mache",1
I'ma give 'em somethin' they can feel,0
They switchin' like sissies now,0
"Imali is my Achilles' heel, yeah",0
I'll be your lifeline tonight,1
"You ain't gotta worry, don't care about your boyfriend",0
That's what I thought you said,0
"I've been sippin', that's how I control",1
"Sometimes, you gotta lose somebody",1
Please tell me who she gon' check,0
Tip of the backwood is where the flame goes (There),0
I got big packs comin' on the way,0
"We started the wave, now everybody lookin' the same",1
"Baby girl just wanna have fun with it, hey",1
I know what they want,1
(I really hope it hurts like hell),1
"Cole on a mission, cementin' the spot as the greatest that did it",0
And I know probably get a key for the quarter,0
The moonlit wings reflect the stars that guide me towards salvation,1
"But that s***'s broken, that s***'s broken",1
I know I can be dramatic,1
"I told her, ""Baby come and ride the rodeo""",1
"Like this dirty .38, this b****'ll damage",0
"Flyin' my mom to Japan, flyin' my dad to Japan, we in a Benz",0
"f*** all the fightin', be cool",0
"You, you love it how I move you",1
I want you to bring it all on,1
Complement my style (Style),0
You were the one thing in my way,1
"Can't talk to myself, 'cause mama said don't talk to strangers",0
Did he want to make love in a yellow taxi,0
"In my bank account, yeah (on God)",0
"If practice made perfect, I'm practice's baby",0
"Thirty more girls wanna roll, let's get this b**** on the road (On the road)",0
"Let her think twice, my shooter in the VIP (Yeah)",0
"Westside n**** from the Bronx, yeah",0
"We were on the low, but you were getting high with me",0
"Know that I can't get much higher, word to my supplier",0
"Bring that a**, bring that a**, bring that a** back!",0
More than a lover for you,0
May take a half when I hit it from the back,0
My diamonds be VV's (VV's),0
"All of your friends'll be dead, you can get hit with that Uzi",0
"Gave 'em all the drip, them n****s still acted thirsty",0
Watch me stick to your b**** like a spray tan,0
"Ooh, ooh, ooh, ow, ow, ow",0
"Can you believe every night we do this? (Do this), yeah",0
"Ain't no love, ain't no love lost",0
I don't trust no one around us,1
"I'm tryna make it out, I'm tryna change the world",0
"Ariana Grande, Be Alright",1
"But when i confess, He is there",1
Why does it feel so good?,1
"Yeah, I'm on and I'm off that, yeah",0
"I pull up with a stick, I let that s*** hit",0
I guess you don't know what you got,1
"The things I do, baby",1
"f*** it up, f*** it up (f*** it up)",0
"f*** it up, f*** it up (f*** it up)",0
Staying out 'til sunrise,1
Then you're the one who's got a hold on me (Oh yeah),1
"n****, get your own, tryna pick a n**** bone",1
I don't wanna hear 'bout invasion of privacy,0
"Sip a little Myx, pop pills 'til I'm sleepy",1
"Black X6, Phantom",1
I'd wanna be me too,1
"But if I throw this money, she gon' drop, ayy",0
I'm always sayin' I won't change but,0
"Smile b****, smile b****, c'mon!",0
"Girl, it's all on you",1
"Nah to the ah to the no, no, no",1
"I needed more than three or four to say this, oh",1
"Anytime, day or night",1
With choppers and Harley's and s*** (for real),0
"If it's meant to be, it'll be, it'll be",1
"I tagged in my brother, b****, I'm out (Bye), I know",0
"Grown man, in my suit and tie",1
In an evening gown with her cleavage out,0
Those guys might take off your necklace (Take off your necklace),0
"Sponge, mug, folder, nun, rug, holster",0
I've been thinkin' too much,1
"But just like that, we fall apart",1
"I'm off the deep end, watch as I dive in",1
'Cause if I'm the music that y'all grew up on,0
First in my life you've got the upper hand Lord,1
"And if you gettin' out of line, I hang you with a clothin' line",0
Or will I have a lot of children who can warm me,1
My diamond 'bout to ski on a b**** (Woo),0
"Fifty thousand on my head, it's disrespect",0
"But who want smoke? I drop them bags, I'm quick to send it, p**** n****",0
"Got that kitty cat, I'm havin' fun with that, goin' Birkin",0
"Cause tonight, the stars are shining bright",1
Skid around ends with the bros and I'm kitted to the toes,0
I forgot my jacket but my heated seats help me warm up,0
DJ Swift on the beat,0
I'ma tell 'em all that you could either hate me or love me,1
"This one might be a battle, might not turn out okay",1
"I'm a hare all on my bike, b****, I bunny hop",0
And then ask you for space,1
Awake 'til dawn,1
"So give me the green light, give it to me",1
"s***, my pockets on a runnin' man, f*** a rubberband",0
And I'm back to my ways 'cause I'm heartless,1
"We used to play pretend, used to play pretend, money",1
The G5'll get me out there in an hour now,0
I done fell in love twice but I gotta be lyin',0
I don't think you hear the words that I'm sayin',1
Maybe someday I could even be up on the radio,0
I can't keep track,1
"Guaranteed, I can blow your mind, mwah",1
We were underground,0
Use this gospel for protection,0
"(I don't wanna, I don't wanna)",1
"Out with my friend, drinking a drink",1
"My body got rid of them toxins (Mmh, mmh)",0
I just hit a lick with the box,0
"Smokin' hella weed, I'm on that alcohol",0
I wish that we could take some time,1
"Double OT like I'm KD, smokin' OG (Smokin' OG)",1
Now f*** me back together,1
When it's nights like this,0
"Last night, we met at one",1
I'd wanna be me too,1
"f*** it, I take the whole cake and I won't leave a portion",0
"Your b**** just like a Crayola, what? Ayy",0
"I've been developin', take a look at the benefits",0
And the vultures all start circling,1
Thought that I could chase you with a cold evenin',1
"Rich n****, you can't talk to me (rich)",0
"Then leave us alone, cause we don't need your policies",1
"Man, keep it all real, I'm a prophetess (Okay)",0
You can't stop the girl,1
"I know it's forward, but it's true",1
I want you like a midnight hour wants a view,1
"n****s wanna keep talkin', they gotta show us (Gotta show us)",0
"But I can't let 'em do it, I got murder on my mind",0
Who got the bricks in the truck? (Cardi),0
Maluma New album 2018,1
On for entire careers 'cause that's not even fair,0
Now I feel so far removed,1
I ain't never stayed from the jump,0
"And if I ain't enough, go get the chop",0
"All that weak s***'ll ruin me, f*** 'em, yeah",0
"In the hood, hollerin', ""Free Meek""",0
"Even if they judge, f*** it, I'll do the time",1
"Pretty lil' thing, you got a bag and now you wildin'",1
"But you need it, yeah, you need it all of the time",1
I got murder on my mind,0
Make sure the ones you with is with it,0
"Oh yeah, very long time",1
"Yeah we trap every week, every night (woah)",0
We were naming the stars,1
If nobody else believes,1
"Pain gon' flow (Pain gon' flow, it's on you if you gon' ever let it go)",0
"(Don't be scared) Don't be scared, 'cause I'm your body type",1
"Tonight, I'll go open up the night for you",0
Muy Bien wrap a  kilo (Yeah),0
"There's levels to your love, yeah, yeah",1
When I've been waitin' (I've been waitin'),1
Beat the police with a nightstick (Boop),0
And it's messing with my health,0
But I can't seem to settle down (Settle down),1
What the venue probably was just payin' out,0
"Diamond necklace, but she wears it on her ankle",0
Where you from? (Where you from?),0
"No, I can't sleep until I feel your touch",1
"And you know, in this foreign car, let it go",1
I thought we were holding on,1
Ain't ready for the latest?,1
"If you want love, if you want love",1
I'm takin' blue caps that keep tweakin' my chakra,0
"Mmm, yeah, alright",1
"When you close your eyes, tell me, what are you dreamin'?",1
n****s wanna swap like it's Slauson or Watts,0
Swap out your b**** for your main,0
"She call me daddy, I don't even know her mama (Ooh)",0
Take my pain for me?,1
Gotta be wrong before it's right,1
"And if they laugh, then f*** 'em all (All)",1
That manual Ferrari Italia's some fly s***,0
"Dance, dance, dance, dance, oh",1
Two things shouldn't be your themes of discussion,0
"You, oh, oh, you, oh, ooh",1
"I got car money, fresh start money",0
"I'm the motherf***in' best but I'm not Khaled (Ayy, we the best)",0
"Ready to gun you down, yeah (on God)",0
"Sittin' there, winning like it's Game of Thrones",1
It's my party and I'll cry if I want to,1
"Too many girls, what you call that? (Let's go)",0
"Keep movin' forward, keep movin' forward",0
Y'all know what's up (Talkin' stone to stone),0
Or put my lips on it like somebody water,0
"16. Kehlani, It Was Good Until it Wasn't",1
Cause I want to,1
"Oh I don't know how the years will go down, it's alright",1
"(Gold up, gold up in my teeth)",1
Leave this dress a mess on the floor,1
"I'm too tired to forgive ya (Ayy), it's too hard on my liver (Ayy)",0
In my bank account,0
"It's safe to say I earned it, ain't a n**** gave me nothin' (Yeah, yeah, yeah)",0
Aussi longtemps que je peux ressentir le beat,1
"Yeah, that someone who (Yeah)",1
You know what I'm sayin'?,0
The upper hand even when we aren't fighting,1
It's f***in' TR3YWAY!,0
"'Cause you got no flaws, no flaws",1
"My coupe, my roof, drop that s*** again",0
There's lovin' in your eyes that pulls me closer,1
"Everything I been through (Ayy), it's something only I know (Yeah, yeah)",0
Why I got you on my mind,1
"(Yeah, yeah, yeah, yeah) I wonder when I love me is enough",1
"The turn up it so real, we 'bout to be super lit",0
"You fall for these hoes off your ladder, my n****",0
"Tell 'em when I die, put my money in the grave",0
RIP my n****s that they caught without it,0
"Yeah, then we rollin', then we rollin'",0
"Everything is different, I can't complain",0
Always keep your circle tight,0
"We was broke so all we ate was rice, n****",0
Now your daddy wants to kill me (Ah),1
"Uh, baguettes on the edge of my neck (Baguettes), I never settle for less (Nah)",0
Pull up drop top with a eater (yeah),0
"But it's only the opening act, it's early, don't overreact",0
"I'll tell them a story, they'll sit and nod their heads",1
"I only love it when you touch me, not feel me",1
Shout out to the old me and everything you showed me,1
Thinkin' it's time to go get 'em,0
"So, sugar, sugar, how you get so fly?",1
With like half of a mili' inside of my briefcase,0
But I know I shouldn't think about it,1
My mama always told me that I'd make it,1
"Shawty bad (Bad), pop her like a cork (Pop it)",0
Franck Muller made me proud of my wrist,0
No wonder we're partners,0
We no longer put no fish scale on the fishin' boat,1
"And through my phone I'm scrollin', bang my line (Bang my line)",0
Louis V bag and Dior her titty,0
We got London On Da Track,0
She got a face that you cannot mistake,0
"Uh, no, you can't cuff me, baby, let me loose",0
Meanwhile Georgie Porgie Cinnamon sendin' me threats,0
"It's always, it's always us, it's always us",1
Y'all lil' n****s be gossipin' (21),0
Started wearing less and goin' out more,1
"I just wanna let you, baby",1
"She always be talking like she know, know, know",0
"Sippin' on the rocks, only way with us",1
"s***, I'm on the way, ride on that d***, I'm like, ""Yay"" (Hey)",0
Even though you know we fly (Though you know we),1
"I say your name, but you're not around",1
Said you want someone,0
"I got one shine in the light, yeah",0
"Rather tell the truth, but I know it's gon' hurt",0
Should we bring it right back?,1
"I wanna try something new, all night, oh (I wanna try something new new)",1
I buy myself fast cars,1
"Hah? Ain't no love lost, but the gloves off",0
"57 90, split the coupe on my wrist (Ice)",0
"Oh, oh, keep you like an oath",1
"Don't mind us, yeah",1
"Como ella lo mueve, sin para', sin para'",1
"I came out the womb, I was thuggin' (Straight up)",0
"Don't be his friend, don't be his friend",1
They're packin' the post and I'm home alone,0
"We turn up, mobbin' 'til the end of time",0
I want you to ruin my life,1
Wonder if that feelin' ever goes away when you get old,0
You gotta watch out where you rock 'cause s*** get real,0
"I got black, I got white, what you want?",0
"If you're ready, if you're ready",1
Is there more to life than sayin' I figured it out?,0
"We get money, what the f*** is a drought?",0
Hit the switch up the suicide doors (d***),0
"I was born for this, born for this",0
Let's call Sway,0
Now there's so many thoughts goin' through my brain (Yeah),0
Don't know how to treat me,1
"Oh, oh, oh, oh, oh, oh",0
And I know I shouldn't say it,1
"She must've thought I was stupid, I knew she was f***in' my cousin (Ooh)",0
How deep is your love?,1
The party never ends,0
"Love you like I would, like I would",1
"And the city love my name, n****, I ain't gotta say it",0
I gotta respect the OGs and I know most of 'em personally (Ayy),0
Ritchie like Guy and I still eat Thai,0
Still falling for you,1
Just for the night,1
"I told y'all, I said I'm livin' my best life (Ayy)",0
Don't know if my body can take it,1
"f*** the club up, f*** the club up",0
Hold onto me and I'ma hold ya,1
"Forever, forever",1
"Flex, time to impress",1
"Don't pay no mind to them b****es, like a ticket, you're fine",0
p**** so good his ex wanna still fight me,0
"We started this from the bottom, now you alone there",0
"'Rari, shopping, let me, cop it",0
We put the world on the wave (the wave),0
And you know my neck is flooded in boulders (Boulders),0
"I don't have time for stress, I don't have time for disagreements, yeah",0
In the moment you were blinded,1
"I, I, I, I've been trying to fix my pride",1
"Jacob my wrist, nothing was fake on my wrist",0
"2. Rina Sawayama, SAWAYAMA",1
Just like they say it in the song,1
"Money, dance, turn this s*** into a nightclub",0
I used to trap at the Exxon (Exxon),0
Cardi put the p**** on Offset (Say what?),0
"Emptied out the clip, it was broad day",0
I'm just happy they gon' free Rico,0
I'm a monkey wrench and I can flunk detention,0
"b****, this the dream team, Fif' is on call",0
The results are deadly,0
"Her a** so fat, it's amazing (Amazing)",0
Case it's fumes,0
And I can't help all these b****es on my d***,0
Not the fire that we've begun,1
And keep in mind that we don't mind losin' our minds,0
"Hindsight, it's obvious",1
Don't fall on my face,0
"And when you stare at your reflection, finally knowing who it is",0
Tell the lil' hoes I'm Bryson,0
"Somebody got shot, what you talkin' 'bout, Willis? (Who?)",0
"I got your b**** singing, lalalala, lalala",0
"Everything litty, I love when it's hot",0
Don't pull up at 6 AM to cuddle with me,0
"You you, yeah 'til I tasted you",1
"Think you need some medicine (Hey, hey, hey, hey)",1
"Ayy, yeaaah baby",1
And you tell your friends,1
While my world's crashing down,1
Sleeping in the clothes you love,1
Maybe I should just focus on me (On me),0
"Then I jump in her p**** like a lake, I'm a diver",0
"Not your reason, not your future",0
You either let it go bad or go away,0
"So don't let me, don't let me, don't let me down",1
Two times for the homies in the chow hall (Whoa),0
"And tonight I'm alive, ain't no dollar sign",1
I just wanna take the time,1
"f*** around, f***ed up my hand, beat a n**** up",0
Let me keep it 100,0
"YoungBoy came back like they left him for dead (Yeah, yeah, gon' air 'em through)",0
"At least the bills are paid, the children safe",0
Fallen in love now (Skate),0
Then walk your fine a** out the door,1
Think about the good times,1
"No, I'm gonna stand by you",1
A stranger's eyes that somehow look familiar (Somehow look familiar),1
"Don't give up, I won't give up",1
Why men great 'til they gotta be great? ('Til they gotta be great),0
Please don't be the type to hate the things I do,0
They were trained to use it (Trained),0
"Until the dawn, let's Marvin Gaye and get it on",1
I know your daddy didn't like me much,1
We gonna do what we do (Do),1
I'm not fazed by all them lights and flashin' cameras,1
So what do you say we leave this place?,1
"And I cannot change you, so I must replace you, oh",0
"Elle avait un bonnet C, une poitrine bonnet D (Bonnet D)",0
"Like a hula, hula hoop, hula, hula hoop, oh",1
"Asli laa, dhyan se sun",0
"Bullets heat a n**** up, like he eatin' on some pasta",0
Just met a bad b**** without the a** shots,1
"My bad, my bad, my bad for, trippin' on you (Trippin' on you, trippin' on you)",1
"Lil CC on the beat, mmm",0
"I said Bobby been livin' that life and you know, I said...",0
Take you to that place,1
"No, you can't say if I'm mad or not",0
"Hurtin' vibe, man, it hurts inside when I look you in yo eye",1
"Let me see some, okay, okay (I see ya), okay, okay",0
"Just wait, can we work this out, can we work this out? (Just wait)",1
"Put all of my faith in tomorrow, dark days keep me up all night",0
"I barely wanna hit her, got her beggin', ""Baby, please""",0
(Waste it on me),1
"From the hood, it's type of money make you stay awake",0
Get up in this fantasy,1
Why I got you on my mind,1
"If you need me, you can call me, I stay busy makin' money",0
"J'avais l'habitude d'aller au fond du bus (Ouais), maintenant j'saute dans un jet (Ouais)",0
"You, you make me, make me, make me wanna cry",1
I don't wanna think about,1
"I'm tryna avoid nonsense, get Osama spray in this b****, woo",0
I jumped off the porch and went bought me a gun,0
Stuck up on that stage singing,1
Ain't got no sympathy for no b****,0
Seems like we do it just for fun,1
I f***ed that b**** in the back with the Burberry on,0
I like it when you touch the floor,0
"Got plenty money, but I had to jump up out my bag",0
"Foreign breed, American, she call me papi (Yeah, yeah, yeah)",0
"Drinkin' on lean, I'm tired (On God)",0
"I know, stop thinkin' you're in my plans (Plans)",0
"Play with ya kids, 'cause the last n**** played me, somebody died (Yeah, yeah)",0
Say you'll never let me go,1
"I'm ready (I'm ready), I'm ready (I'm ready)",1
"And they tryna bring us down, me, Weezy, and Stunna",0
"Walked him outside, now he got the llama",0
"Downtown, cruising through the alley",1
'Cause I'm only known just to floor it (Brand new),0
Serving junkies out the window,0
"Now I know we're not dating, nah",1
I'm gonna have to pick my poison,1
When did we all stop believing in magic?,1
"Isn't it strange, oh oh oh oh",1
"I can work a miracle, work a miracle",1
"Don't come out, out",1
To them pretty faced girls tryna impress each other,1
"We bros, we bros, we can't break for these hoes",0
What if we let them fall behind and they're never found?,1
"Bought a Richard Mille, my new watch don't tick",0
How you tell on the gang? If you mention my name,0
"Mm, hey, mm, mm, mm",0
"Ellie Goulding, Love Me Like You Do",1
"Got a lotta new flames, still need them blue",0
"Lately, I've been, I've been thinking",1
Like it ain't s*** but a dollar sign (Juicy J),0
"Stay awhile, stay awhile, oh",1
What'd I do to deserve it?,1
The ones that look like socks,0
"Are you workin' with some cash here, cash here?",1
I can see the whole f***in' venue from my window,0
"We'll wish we could come back to these days, these days",1
"She always be talking like she know, know, know",0
"Oh, I know it ain't pretty",1
Round and round your loving winds me up,1
The heart was built to break,0
"I got black, I got white, what you want?",0
"Candy, she's sweet like candy in my veins",1
"Twelve o'clock, and I got my gun clocked, and I'm on one pill",0
Or the arms that hold you any time you want them,1
Seen the jakes and a n**** had to get low,0
"Ride with the mob, Alhamdulillah",0
"Know a n**** cooler than a cooler (Yeah, yeah, yeah, yeah)",0
I turn the news on when I smell death in the air,0
"Hunnid bands in my pocket, it's on me (Yeah, yeah)",0
"(Even if we can't find Heaven, Heaven, Heaven...)",1
"What if, what if we lost our minds?",1
The smell of your perfume is floating down the stairs,1
"He's a blessing, and by your side",1
"You know, you know exactly how I feel",1
You tryna stop the money to support her,0
We got London On Da Track,0
"We already know he ain't 'bout that s*** (Talk 'bout, yeah)",0
I'm constantly reminded of all the compromises,1
Strawberries on a summer evenin',1
"Now I'm like, ""Nah, love, I'm good, go away""",0
"Had that boy's b**** on my d***, that ho, she was just ridin' (Yeah, yeah)",0
"You from the projects, but so exotic",0
"Got my head to the ceiling, want me in my feelings, only got me feelin' a way",0
"I'm good by myself, don't need no one else",1
"I'm a cloud, comin' down",0
(Out of the woods),1
"I've been workin', so I cash in",0
Talking to the driver 'bout his wife and his children,1
I tell you all the things you should know,1
Somewhere in the crowd,1
"Better punt it on the fourth, 'cause ain't no runnin' past n****s (No)",0
"You know I say that I am better now, better now",0
"Baby, I got these scars, reminding me to forget",1
"That's my type, n****, that's my type",0
(Rocco lo hizo otra vez),0
Don't know what to do (Yeah),0
"And I need, I need you to know",1
"I am a mess, I am a mutant (Yeah)",0
Your heart breaks and it ain't no fun,1
"In the kitchen, wrist twistin' like it's stir fry (Whip it)",0
You don't know 'bout nothin',0
Been waiting and waiting for you to make a move,1
Type of money she gon' let you put it in her face,0
"Do anything that you wanna do, wanna do",1
"Act up, you can get snatched up",0
"I'm goin' to Pluto with my girl (Oh, shorty)",0
"Who you know, n****? Street n****s call me Pluto",0
"Ayy, this is the proof",1
So I just had to let you know,1
"How you want it, English or Spanish?",1
Livin' like we tryna die tonight,0
But you would rather be in the dark ages,1
"The less is left for closure, so let's let this go",0
"I got one shine in the light, uh",0
There's strength in numbers but it's honor over strength,0
"White X6, panda",1
"Gang havin' loyalty, we ten toes (Ten)",0
I shoot my shot and it brick (mmm),0
"Got the yellow diamond Patek on my wrist, too pissed off",0
"Man, I'm goin' out with a vengeance",0
As yesterday fades and the Dresden home,0
'Cause we'll never know when,1
"We ain't aimin' for your body, shots hit your brain",0
"Young M.A and Lady Luck, get the strap for this p****, uh",0
"I had to focus on the check, told myself, ""f*** a friend""",0
"Word to Flacko Jodye, he done seen us put it down",0
"Still a pink wig, thick a**, whiplash",0
"Get it, then I spend it (Yeah)",1
"I know I can break you off, come here lemme break you off",0
"Light a match, get litty, babe",1
"All these Jones soldier, f*** it, they call me Quincy",0
"We gon' dance in my living room, slave to the way you move",1
Tell me why I can get no relief (I can't even sleep),0
"For now, the day bleeds into nightfall",1
"For the team, uh (Woo), now she wet, don't ski, uh (Splash)",0
"(Missing you, missing you)",1
"I only love my bed and my mama, I'm sorry""",0
Gang! Gang! I tell her come f*** with the gang,0
"I've been trapped in my mind, girl, just holding on",0
By every mother f***** that's the broke way,0
Your mouth's a gun,1
I'm losin' enough sleep dealin' with envy,0
"I can't even tell the time, this AP decoration",0
"You say you come with a lot, well, baby, I want all of that",0
Runnin' this s*** with a stride,0
"No, I can't do no Amiris",0
But they don't mean anything,1
And give me the night and day,1
"Yeah, I'll wait for you",1
"And I'm sorry if my words messed with your head, yeah",0
I stunt when I rolled up,0
"I ain't like these rapper n****s, they is not my stylo",0
I don't even wanna know your name,0
You just need to stay close to your people that was there when others could've been,0
"I'm sick and tired of waitin', I done lost my patience",0
Now I'm on fifty blogs gettin' fifty calls,0
"Drop me off at the moon, n****, I don't give a f*** what happens",0
Then I'll probably give her my number,0
b**** ain't comin' off the bench,0
Maybe we can stay in touch,1
It'll be alright,1
"That natural beauty, beauty, yeah, yeah",1
"Sashimi from Saito, you know that man two Michelin Star",0
"Can't be mediocre, mhm",0
I'm not always cold,1
'Cause space was just a word made up by someone who's afraid to get too...,1
"I wonder why? (Why?) I, I wonder why? Yeah",0
"Yeah, yeah, everything I said",0
Baby I'm in love with you,1
And you know you don't want it any other way,1
"Money team, got a whole M in a duffle",0
"Oh, you duckin' them laws? (You better run from them n****)",0
"I got dreams of livin' lavish, in the kitchen whippin' magic",0
"No broken hearts in the club, no tears in the club",1
"I gave her keys to the Bentley (Woah, woah)",0
"Question, oh, check your message",0
"New finger rings hit like a sink (Yeah, yeah)",0
I come with that lead,0
"You the one who split the guap with your team, huh? (Split it)",0
There's no room in war for feelings,1
"Holy Spirit, come down (Ooh)",0
Took a private jet to Dubai (Ooh),0
"Drove for hours last night and we made it nowhere (Nowhere, nowhere)",1
Shooting fireworks like it's the Fourth of July,1
"Took losses in these streets, s*** got me singin' gang blues",0
Repeat it over and over until it's in my brain,0
"My body got rid of them toxins (Like, f***, mmh, mmh)",0
When Mama said that it was okay,1
"17 shots, no .38",1
"Now everywhere I go, people want a photo",1
